feature,mean_abs_shap
Altitude,0.2570691133108875
race_year_trend,0.22086995150864203
Latitude,0.14798353976558606
GrowthStage,0.14497377181160842
lag_100km_1m_count,0.14351046447236152
Lat_x_Lon,0.1435072382266352
DayOfYear,0.1272167790693754
cult_high_risk,0.12371436209414444
race_pressure,0.12017270127567348
lag_25km_1m_prev,0.10470811128347607
lag_100km_1m_prev,0.08980480765598475
DaysIntoMainSeason,0.08759312310721278
BiweekIntoMainSeason,0.08184933180506422
Lat_sq,0.08083588661162941
AltitudeBand,0.07871228455472148
Lon_x_Alt,0.07535074343923905
Longitude,0.07283890417997906
Area_log,0.06915342259411802
lag_50km_1m_prev,0.06496031966656435
Lon_sq,0.06398946403351308
Lat_x_Alt,0.06213701964529351
lag_50km_1m_count,0.05739923241127097
lag_25km_1m_count,0.0414679131454726
lag_50km_2m_count,0.038416131572473984
cult_med_risk,0.035763687276954344
Alt_x_Time,0.03496884079389456
lag_50km_2m_prev,0.029098360963568874
race_x_cult,0.027785635881167798
cult_low_risk,0.016612729871245572
Area_missing,0.014766840774303618
Month_sin,0.014156444232700393
Month_cos,0.008597593964264535
GrowthStage_missing,0.004511309032952952
IsMeherSeason,0.0
Altitude_missing,0.0
race_endemic,0.0
cult_local,0.0
