feature,mean_abs_shap
Lat_x_Alt,0.45060274
BiweekIntoMainSeason,0.41399428
GrowthStage,0.33023086
race_TKTTF_age,0.3000535
Lon_x_Alt,0.27761602
Lat_sq,0.24184294
race_x_cult,0.20064294
Lon_sq,0.1554393
lag_25km_1m_prev,0.13829996
race_TKTTF_peak,0.11808609
lag_100km_1m_prev,0.10892236
ndvi_x_growth,0.07197255
Area_log,0.06546755
precip_mm,0.056004386
ndvi_x_alt,0.048305467
race_pressure,0.04103168
lag_25km_1m_count,0.035417072
vpd_lag1m,0.034785185
precip_3m_cum,0.034298398
temp_C_lag2m,0.03302873
ndvi_lag1m,0.03255689
lag_50km_2m_count,0.029610097
AltitudeBand,0.029464038
leaf_wet_lag1m,0.028934063
ndvi,0.0276548
temp_trend,0.026809875
lag_50km_2m_prev,0.026562944
lag_100km_1m_count,0.019935656
ndvi_change,0.01809373
vpd,0.01388298
precip_mm_lag2m,0.011986703
lag_50km_1m_count,0.011673363
GrowthStage_missing,0.007240612
ndvi_anomaly,0.00493527
temp_suit,0.004890298
race_TKTTF_active,0.004161433
cult_local,0.0
IsMeherSeason,0.0
Altitude_missing,0.0
Month_sin,0.0
cult_low_risk,0.0
cult_med_risk,0.0
Area_missing,0.0
race_new_2019_active,0.0
